Name	Location	Start	Starttime	End	Endtime	Long	Lat	asl	v*	dmol	Caption
PollyXT_DWD	HPB	20170609	0000	20990605	2359	48	11	953	0.0269	0.0053	, Hohenpeissenberg, Germany
Polly_1v2	Leipzig2	20160525	0000	20160713	2359	51	12	125	0.0366	0.0053	, Leipzig, Germany
Polly_1v2	Haifa	20160723	0000	20170319	0900	32.78	35	191	0.0289	0.0053	, Technion, Haifa, Israel
Polly_1v2	Leipzig2	20170607	0000	20170621	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig	20170622	0000	20171123	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig2	20171124	0000	20180216	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig	20180217	0000	20180427	1400	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig2	20180427	1401	20181024	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig	20181025	0000	20190115	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig2	20190116	0000	20190201	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
Polly_1v2	Leipzig	20190202	0000	20190702	2359	51	12	125	0.0341	0.0058	, Leipzig, Germany
Polly_1v2	Leipzig2	20190703	0000	20991216	2359	51	12	125	2.58E-2	0.0058	, Leipzig, Germany
PollyXT_TJK	Leipzig2	20190301	0000	20190609	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany
PollyXT_TJK	Dushanbe	20190615	0000	20990201	2359	38.56	68.86	864	0.0191	0.0053	, Dushanbe, Tajikistan
PollyXT_TAU	Leipzig4	20190808	0000	20990609	2359	51	12	125	0.0191	0.0053	, Leipzig, Germany

